"","killer_position_x","killer_position_y","victim_position_x","victim_position_y","killed_by","time","GunType","killerelevation","victimelevation","killdistance"
"37163669",602257.9,479771.8,601567.3,477963.3,"M416",172,"Rifle","Normal","Normal",1935.87205413993
"569300",474137.3,415284.1,475899,417209.2,"M16A4",683,"Rifle","Normal","Normal",2609.52043486925
"5597286",362574.2,394750.5,363240,394138.8,"Mini 14",189,"Rifle","Normal","Normal",904.138556859511
"7824267",522635.3,259999,522353,260682.3,"M416",1649,"Rifle","Normal","Normal",739.318726937156
"23048394",505253.2,514522,505078.1,513745.8,"M416",1070,"Rifle","Normal","Normal",795.70500186943
"22893995",472801.1,481427.8,476652.6,488098.9,"M416",1705,"Rifle","Normal","Normal",7703.09207136981
"39178236",306683.7,436887.1,306203.8,436693.4,"Hit by Car",1040,"Vehicles","Normal","Normal",517.516859628751
"5473928",466890.3,643417.4,467225.2,643392.4,"S686",134,"Shotgun","Elevated","Elevated",335.831818028036
"4407496",247650.2,232038.8,243662.4,227772.5,"Grenade",1673,"Explosives","Normal","Normal",5839.85141334949
"16136063",248847.2,211178.7,236792,208596.4,"Mini 14",1529,"Rifle","Normal","Normal",12328.6706635387
"35628715",402945.1,306483.4,401742.6,293346.6,"S686",317,"Shotgun","Normal","Normal",13191.7216651202
"5496686",340772.5,377138.2,339820.7,381005.2,"Grenade",814,"Explosives","Normal","Normal",3982.41286659231
"4379089",573810.6,423131.4,573436.1,423639.8,"SCAR-L",1206,"Rifle","Normal","Normal",631.443433729392
"32967977",429485.8,288213.4,422701.4,276105.2,"SKS",1401,"Sniper","Normal","Normal",13879.3584361814
"19069470",602836.4,475264.6,603147.9,474803.1,"M16A4",286,"Rifle","Normal","Normal",556.789457515137
"36667843",160317.3,310152.1,159072.5,304404.9,"M416",976,"Rifle","Normal","Normal",5880.46213149948
"30077120",262317.8,426133.3,259091.4,436577.2,"Kar98k",1662,"Sniper","Normal","Normal",10930.905917169
"38023824",551552.9,547204,550874.1,532695.4,"Kar98k",770,"Sniper","Normal","Normal",14524.4705032576
"29408756",574295.1,592932.3,574636,592343.4,"UMP9",558,"Sub Machine Gun","Normal","Normal",680.452805123209
"4607137",535320.7,306866,534034.4,306044.2,"AKM",1523,"Rifle","Normal","Normal",1526.40850692067
"8116612",332355.1,168298.8,327802.8,176095.9,"SKS",1086,"Sniper","Normal","Normal",9028.74319603786
"5012634",350158.8,396082.4,351107.1,395391.2,"S686",472,"Shotgun","Normal","Normal",1173.46935622537
"36921322",425772.2,327119.2,425769.2,322894.1,"M416",361,"Rifle","Normal","Normal",4225.10106506345
"812969",550545.5,232617.6,550119,233476.2,"P1911",256,"Pistol","Normal","Normal",958.695055791992
"32283221",370650.7,496698,368735.7,502155.9,"SCAR-L",1626,"Rifle","Normal","Normal",5784.10731314697
"15197925",438002.7,639444.8,437078.7,640026.9,"M416",291,"Rifle","Normal","Normal",1092.06978256885
"32550893",204647.5,272789.2,205058.7,272696.5,"UMP9",140,"Sub Machine Gun","Normal","Normal",421.519548775631
"32014936",351297.3,311170,348461.2,311941.2,"P92",253,"Pistol","Normal","Normal",2939.08364120518
"35458813",529923.7,624838.2,529866.4,624546.1,"M416",181,"Rifle","Elevated","Elevated",297.667095930972
"26231933",458333.2,628724.1,457210.8,628685.8,"M16A4",465,"Rifle","Normal","Normal",1123.05327122094
"27884084",345709.9,321567.1,345516.5,321805.2,"S12K",434,"Shotgun","Normal","Normal",306.749360227574
"11126745",492078.8,275499.1,492617.2,279417.8,"Tommy Gun",258,"Sub Machine Gun","Normal","Normal",3955.51314623022
"20405954",622144.3,374740.9,621196,372807.6,"M16A4",133,"Rifle","Normal","Normal",2153.35129043086
"18258177",426588.8,643046.4,426505.9,643171.9,"Vector",191,"Sub Machine Gun","Normal","Normal",150.408310940567
"25735741",519655.8,412975.2,522295.6,408621.8,"AWM",1358,"Sniper","Normal","Normal",5091.23124597578
"3447040",565588.6,361935.8,566104.6,361859.3,"Hit by Car",360,"Vehicles","Normal","Normal",521.639962042787
"4798371",618113.6,611752.3,617509.8,612164.4,"AKM",586,"Rifle","Elevated","Elevated",731.027256673714
"2563624",555980.6,128938.8,556318.4,128928.8,"S686",127,"Shotgun","Normal","Normal",337.94798416329
"14660897",312178.9,371931,311626.9,372481.2,"M416",1618,"Rifle","Normal","Normal",779.374133519976
"2988122",455805.1,629790.8,455774.8,629398.3,"M16A4",421,"Rifle","Normal","Normal",393.667804119157
"16054814",380029.5,474016.6,380181,473981.2,"P92",158,"Pistol","Normal","Normal",155.580879287905
"34993683",341041.9,167626.5,340984.2,167720.8,"UMP9",103,"Sub Machine Gun","Normal","Normal",110.552159635166
"28887324",197710.3,268318.1,196754.5,268562.8,"UMP9",146,"Sub Machine Gun","Normal","Normal",986.626438932174
"8479921",163160.7,627098.8,157803.8,627452.8,"AKM",387,"Rifle","Normal","Normal",5368.5839483052
"12835086",332125.5,166782.5,334390.3,168334.5,"Crossbow",229,"Sniper","Normal","Normal",2745.54603676572
"20364347",522595.9,406410.5,522938.8,406161.3,"M416",1033,"Rifle","Normal","Normal",423.888015872095
