"","killer_position_x","killer_position_y","victim_position_x","victim_position_y","killed_by","time","GunType","killerelevation","victimelevation","killdistance"
"32455966",622612.1,603113.6,622360.3,603027.1,"AKM",331,"Rifle","Elevated","Elevated",266.243290995219
"38670029",675370.7,466230.8,674101,467608.5,"SCAR-L",963,"Rifle","Normal","Normal",1873.55154185838
"29402666",328743.2,536085.4,328926.6,536578.8,"Hit by Car",1271,"Vehicles","Normal","Normal",526.383054438505
"19038616",205437.5,277397.2,205442.7,277317.2,"Punch",284,"Melee","Normal","Normal",80.1688218698524
"13146287",445036.3,623220.1,445014.9,623271.4,"SCAR-L",187,"Rifle","Normal","Normal",55.5846201750384
"35790638",375013,452794.2,379303.3,451510.7,"M16A4",1548,"Rifle","Normal","Normal",4478.17444278357
"9147622",466415.2,642704.8,466202.2,642005.2,"M16A4",251,"Rifle","Elevated","Elevated",731.306474742382
"19332410",221511,195656,218134.4,196364.9,"M416",1457,"Rifle","Normal","Normal",3450.2125688137
"7982023",308281.8,363335,308281.8,363335,"Grenade",903,"Explosives","Normal","Normal",0
"33691878",622044.8,374242.7,621698.9,374469,"Micro UZI",725,"Sub Machine Gun","Normal","Normal",413.350335671826
"18424017",432152.5,391036.7,438452.6,389641.5,"SCAR-L",1012,"Rifle","Normal","Normal",6452.73918967749
"12313233",359125.8,240698.1,359609.2,240241.1,"M416",916,"Rifle","Normal","Normal",665.225194952824
"18004169",555198.3,589160.7,554136.1,586925.8,"Mini 14",806,"Rifle","Normal","Normal",2474.47910680202
"4168575",490667.8,442823.6,490270.5,445282.2,"M16A4",191,"Rifle","Normal","Normal",2490.49417786916
"28124393",486852,346349.6,486967.2,346240.2,"AKM",1194,"Rifle","Normal","Normal",158.869128530357
"6544460",614122.1,258303.3,600060,249208.5,"M416",1214,"Rifle","Normal","Normal",16746.8816037494
"31685051",551172.3,236784,551476.8,236959.6,"AKM",508,"Rifle","Normal","Normal",351.504779483867
"36674805",163603.1,403228.7,163747,403488.6,"Pan",352,"Melee","Normal","Normal",297.077801257482
"10919417",354485.3,518600.2,354273.2,519392.8,"M16A4",1263,"Rifle","Normal","Normal",820.488372860916
"25835851",284813.9,402723,284471.2,402356.8,"M416",1798,"Rifle","Normal","Normal",501.543348076731
"21161206",362707.6,402313.5,361907.1,402598.4,"S12K",185,"Shotgun","Normal","Normal",849.687154192655
"12160199",438976.6,711411.6,440944.7,711192.7,"AKM",1138,"Rifle","Normal","Normal",1980.23605158581
"24160923",338578.7,218960.6,339728.9,219961.1,"UMP9",1557,"Sub Machine Gun","Normal","Normal",1524.45409573395
"10837155",438796.5,619718.2,437558,621959.6,"M16A4",420,"Rifle","Normal","Normal",2560.8116311045
"8132336",468394.5,639492.6,468440.7,639779.6,"AKM",201,"Rifle","Elevated","Elevated",290.694753994635
"6780143",164221.8,282178.7,155969.9,279501.8,"SCAR-L",651,"Rifle","Normal","Normal",8675.2318251445
"21173535",334449,227573.5,337387.1,218312.6,"SCAR-L",640,"Rifle","Normal","Normal",9715.79643776051
"27751936",382981.3,157645.7,390217.4,171000.7,"Hit by Car",1002,"Vehicles","Normal","Normal",15189.3768209891
"25929029",614992.9,437364.9,615593.4,438152.9,"SCAR-L",1187,"Rifle","Normal","Normal",990.72915067641
"27131091",732127.9,436373.8,733050.9,436607.4,"P92",181,"Pistol","Normal","Normal",952.101864298152
"27129691",177892.9,626192.4,178097.3,626441.8,"S12K",131,"Shotgun","Normal","Normal",322.458865593752
"2529029",556897.3,134775.8,560891.1,134257.9,"SKS",274,"Sniper","Normal","Normal",4027.23960672809
"24490209",569112.6,380146.8,569133.2,380019.2,"SCAR-L",160,"Rifle","Normal","Normal",129.252156655095
"17562598",463709.9,200105.2,463684.3,206320.8,"M416",1196,"Rifle","Normal","Normal",6215.65271874159
"23142357",437806.6,609523.2,447523.5,620672.6,"Kar98k",457,"Sniper","Normal","Normal",14789.4308872925
"25969180",273998.9,379796.9,296680.6,377737.9,"Kar98k",827,"Sniper","Normal","Normal",22774.964234659
"15091861",445268.1,329443.8,444953.6,329732.5,"AKM",425,"Rifle","Normal","Normal",426.916783460204
"37569103",626338.4,377823.8,624525,372773.2,"S1897",177,"Shotgun","Normal","Normal",5366.28175928173
"26524377",407084.1,290318.3,406503.2,290525,"M16A4",248,"Rifle","Normal","Normal",616.579029808802
"2690763",619764.9,597466.8,624529.4,602169.1,"M16A4",454,"Rifle","Normal","Elevated",6694.18296284165
"14237695",573991.9,347259.8,569629.6,347576.6,"AKM",1589,"Rifle","Normal","Normal",4373.78823561457
"3043111",271171,563573.1,272105.6,563904,"S686",619,"Shotgun","Normal","Normal",991.449428866633
"26201967",220618.5,397816.2,223927.8,396903.9,"M16A4",394,"Rifle","Normal","Normal",3432.74784684222
"12605256",398738.1,308514.7,405509.1,310444.7,"M16A4",520,"Rifle","Normal","Normal",7040.69179839595
"17482245",567711.8,350990.3,566188.8,352137.2,"AKM",231,"Rifle","Normal","Normal",1906.54362918871
"11423430",340037.4,164191.8,340170.8,164032.9,"Mini 14",142,"Rifle","Normal","Normal",207.472335505216
"14458861",555968.9,238482.4,555945.3,239249,"AKM",538,"Rifle","Normal","Normal",766.9631803418
"23736806",573389.3,134621,573822.2,135142.8,"SCAR-L",279,"Rifle","Normal","Normal",677.995317092904
"33221336",445837.8,333444.2,446279.2,333883.7,"AKM",610,"Rifle","Normal","Normal",622.891812436173
"15478481",678459.3,438778.5,678388.4,439816.1,"M16A4",1937,"Rifle","Normal","Normal",1040.01950462477
"20096788",300485,506633.4,301658.1,506840,"M16A4",1631,"Rifle","Normal","Normal",1191.15371384215
"6847562",487528.9,346088.7,487870.3,345966.7,"S1897",184,"Shotgun","Normal","Normal",362.54373529269
"29940385",269987.9,326330.7,266993.7,334831.2,"M416",1224,"Rifle","Normal","Normal",9012.42108925233
"17398234",360156.3,395137.9,359169.4,394296.8,"Tommy Gun",234,"Sub Machine Gun","Normal","Normal",1296.69611706058
"2003506",451867.3,620422.4,450534.1,620018.9,"M16A4",315,"Rifle","Normal","Normal",1392.92300217924
"25469409",198693.1,277814.2,198693.1,277814.2,"Grenade",517,"Explosives","Normal","Normal",0
"39615499",624506.8,299238.2,624466.3,299844.4,"M16A4",146,"Rifle","Normal","Normal",607.551388773011
"20983771",447105.2,120184,446839,123665.3,"SCAR-L",1589,"Rifle","Normal","Normal",3491.46274933587
"20898426",444688.2,630933.8,444664.6,631120.6,"AKM",405,"Rifle","Normal","Normal",188.284890524905
"1087626",499133.8,283789.1,500109.5,284319.6,"M16A4",1102,"Rifle","Normal","Normal",1110.59476858124
"30404780",702629.7,314873.9,704348,295932.2,"M16A4",704,"Rifle","Normal","Normal",19019.4782730758
"24537650",377645.6,502804.9,375597.2,503743.6,"M416",778,"Rifle","Normal","Normal",2253.24216408263
"13071269",434212.6,625501.6,434635.2,625113.2,"M16A4",215,"Rifle","Normal","Normal",573.973274639201
"15734009",404785.2,476249,399580.1,461175.4,"SCAR-L",1765,"Rifle","Normal","Normal",15946.9897776978
"18695037",578112.4,486553,580055.7,484576.6,"AKM",1351,"Rifle","Normal","Normal",2771.74527148507
"5650299",349042.7,635845,362694,630726.8,"SKS",1693,"Sniper","Normal","Normal",14579.2305328505
"38562188",418210.2,328599.5,418174.6,328195.3,"P1911",156,"Pistol","Normal","Normal",405.764710146178
"14698412",437192.7,615430.1,454650.2,612328.4,"SKS",536,"Sniper","Normal","Normal",17730.9009680839
"16086419",682710.4,347363.2,691486.3,347216.2,"AKM",1607,"Rifle","Normal","Normal",8777.13106943268
"7859034",159233.4,320127.7,159305.7,320094.1,"Punch",367,"Melee","Normal","Normal",79.7260935955404
"29515471",425127.2,328512.1,423991.8,328678.8,"M416",218,"Rifle","Normal","Normal",1147.57224173472
"13949822",444039.3,141690.3,444760.1,141666.5,"SCAR-L",1337,"Rifle","Normal","Normal",721.192817490567
"17538842",599805.2,615859.4,599946.4,615586.6,"SCAR-L",266,"Rifle","Elevated","Elevated",307.176301169288
"28918365",552586.4,576364.4,551266.4,580520.4,"AKM",895,"Rifle","Normal","Normal",4360.58895104778
"17578516",115094.4,432773.2,115152.3,432849.5,"Punch",137,"Melee","Normal","Normal",95.7815222263628
"10899883",420526.1,324632.5,420362,325275.9,"UMP9",206,"Sub Machine Gun","Normal","Normal",663.997266560656
"33054479",467625.2,643870.4,467730.4,643397.3,"UMP9",214,"Sub Machine Gun","Elevated","Elevated",484.65518670492
"19717770",234476.1,393315.8,233681.3,393517.3,"M16A4",1898,"Rifle","Normal","Normal",819.944687158852
"8843922",591387.4,601162.6,591022.9,601138.3,"SCAR-L",1267,"Rifle","Elevated","Elevated",365.309101994457
"28331207",172044.6,415593.9,173525.4,415751.8,"SCAR-L",1493,"Rifle","Normal","Normal",1489.19476563677
"3477786",372733.3,491318.9,372332.9,490970.6,"Hit by Car",963,"Vehicles","Normal","Normal",530.691106011778
"22308761",206892,410298.8,206761.1,410482.3,"P1911",134,"Pistol","Normal","Normal",225.404214689962
"33361360",357675.7,405231.1,357747.6,405684.6,"M416",808,"Rifle","Normal","Normal",459.16430610403
"28289701",380507.5,474683.9,380972.6,474616.9,"Mini 14",641,"Rifle","Normal","Normal",469.901064054954
"10986368",162418.8,318116.8,162048.9,337803.9,"M16A4",1183,"Rifle","Normal","Normal",19690.5747102516
"13608397",540684.6,461278.3,540662.8,461069.3,"AKM",229,"Rifle","Normal","Normal",210.133862097466
"1619275",627900.6,377917.3,632401.3,375777.2,"M16A4",148,"Rifle","Normal","Normal",4983.60597358986
"8204425",571128.4,264032.8,570448.2,261967.7,"AKM",1392,"Rifle","Normal","Normal",2174.23780898043
"26254777",599120.2,480075.2,599695.9,478781.8,"P92",198,"Pistol","Normal","Normal",1415.73798776473
"22245645",150398.7,318671.2,150493.6,318682.2,"Punch",211,"Melee","Normal","Normal",95.5353861142503
"5256443",414023.5,426177.2,420644.1,421166.6,"Mini 14",930,"Rifle","Normal","Normal",8302.91856638375
"10927509",477669,167135.1,476553.1,168756.9,"M416",1816,"Rifle","Normal","Normal",1968.62084973212
"12509920",209386.8,272724.9,194815.1,265300,"Kar98k",261,"Sniper","Normal","Normal",16354.3138315247
"16804974",258058,484665.9,265663.7,480368.2,"SCAR-L",1892,"Rifle","Elevated","Normal",8735.95431421206
"19398148",556258.4,362851.7,556356.8,362783.3,"S1897",132,"Shotgun","Normal","Normal",119.83789050216
"20785880",368596.6,412317.6,368981.7,407822.2,"M16A4",712,"Rifle","Normal","Normal",4511.86471095929
"5744462",137152,603026.7,137131.5,602699.9,"M16A4",342,"Rifle","Normal","Normal",327.442346070196
"15998150",624408.3,375319.6,624592.1,373816.3,"Tommy Gun",471,"Sub Machine Gun","Normal","Normal",1514.4944139877
"3097252",415172.1,458809.3,415632.3,458720,"M16A4",1547,"Rifle","Normal","Normal",468.784097426532
"20406265",489349.2,111424.8,482188.8,113024.9,"M16A4",1770,"Rifle","Normal","Normal",7337.00539525495
"9663907",345447.3,559527.7,350785.1,564864.3,"M416",761,"Rifle","Normal","Normal",7547.94067279287
"4701956",341026.2,173273.8,338760.7,168476.8,"SCAR-L",166,"Rifle","Normal","Normal",5305.06354815849
"22157440",437329.3,637272.2,437250.2,637536.6,"UMP9",145,"Sub Machine Gun","Normal","Normal",275.978568008475
"34961227",441024,332719.4,440736.4,332687,"Micro UZI",672,"Sub Machine Gun","Normal","Normal",289.419280629311
"417170",568433.2,382764.8,568150.4,383009.3,"Vector",213,"Sub Machine Gun","Normal","Normal",373.839658142312
"13474719",285553.9,174144,288388.3,174326.2,"M416",1683,"Rifle","Normal","Normal",2840.25002420558
"745206",486401.6,688605.1,486264.6,688662.7,"Punch",127,"Melee","Elevated","Elevated",148.616149862649
"8344595",169614,613160.9,169999.1,613214.9,"SCAR-L",184,"Rifle","Normal","Normal",388.867599576005
"36701595",215842.3,268379.9,211738.9,270382.9,"AKM",177,"Rifle","Normal","Normal",4566.16913396777
"35792498",422659.1,643171.5,422499.8,643069,"M16A4",122,"Rifle","Normal","Normal",189.427400341124
"17755758",553103.9,382642.6,553277.8,382919.7,"S686",574,"Shotgun","Normal","Normal",327.147703644741
"9813305",583759.4,308341,583131.8,308467.2,"M416",1388,"Rifle","Normal","Normal",640.162635585656
"29708506",437831.3,638967.5,437726.2,638769.6,"S12K",282,"Shotgun","Normal","Normal",224.076817185545
"21366759",110737.5,382849.9,109900,382384.6,"UMP9",118,"Sub Machine Gun","Normal","Normal",958.076374826163
"1220061",467307.8,646791.6,464319,645065.4,"UMP9",308,"Sub Machine Gun","Elevated","Elevated",3451.47676799363
"16297223",603150.4,481421.9,600378,479307.2,"Mini 14",185,"Rifle","Normal","Normal",3486.85500845679
"14141630",424553.8,328061,425113.9,328367.9,"S686",114,"Shotgun","Normal","Normal",638.670196580405
"6747117",342878.9,547078.9,345334.2,558703.2,"SKS",1156,"Sniper","Normal","Normal",11880.7764300149
"7019946",522076.5,473038.5,525050.9,477191.7,"M16A4",502,"Rifle","Normal","Normal",5108.43670803507
"19463644",441621,333233.6,441554.7,332931.2,"AKM",501,"Rifle","Normal","Normal",309.582703005154
"35331144",197359,267443.6,196728.7,269061.8,"Grenade",1409,"Explosives","Normal","Normal",1736.62008798701
"31861919",211467.3,279821,212243,279700.1,"S12K",284,"Shotgun","Normal","Normal",785.065156531624
"5124797",441236.1,334241.7,440836.4,333765.9,"Tommy Gun",388,"Sub Machine Gun","Normal","Normal",621.406251980097
"27574635",355213.4,403372.3,355089.6,403073.3,"M16A4",891,"Rifle","Normal","Normal",323.616192425551
"27855901",496336.1,309197.6,492881,282297.3,"M16A4",1390,"Rifle","Normal","Normal",27121.2805025869
"3271271",443900.5,624431.7,443923.6,624354.4,"S1897",176,"Shotgun","Normal","Normal",80.6777540588986
"3137428",725798.3,430220.5,725854.6,430054,"S1897",160,"Shotgun","Normal","Normal",175.761030948251
"4552268",420885.4,643173.9,420944.5,642992.7,"M416",97,"Rifle","Normal","Normal",190.594464767533
"30894886",593644.4,238580.6,597934.8,249702.5,"Mini 14",1628,"Rifle","Normal","Normal",11920.7462757161
"1514082",246794.5,279285.2,226576.5,288168.4,"SCAR-L",1068,"Rifle","Normal","Normal",22083.4500529243
"19339839",209592.2,286145.5,210491.5,286652.7,"AKM",417,"Rifle","Normal","Normal",1032.46904554083
"11044074",171972.6,495704.4,171390.2,495689,"SCAR-L",1146,"Rifle","Normal","Normal",582.603570191596
"1024514",208051.2,393177.6,213908,392851.6,"Grenade",502,"Explosives","Normal","Normal",5865.86585594999
"9897949",446180.4,630048.7,446361.2,629919.8,"UMP9",300,"Sub Machine Gun","Normal","Normal",222.044702706396
"33626279",201056.9,287258.3,201222.6,287163.1,"S1897",105,"Shotgun","Normal","Normal",191.100837256162
"8856813",346020.3,401300.3,352823.9,407312.3,"M416",199,"Rifle","Normal","Normal",9079.26852560274
"8368449",608501.3,478502.1,609465.2,478915.2,"AKM",657,"Rifle","Normal","Normal",1048.69195667739
"14959525",602546.1,602380.1,602711,604501,"SCAR-L",406,"Rifle","Elevated","Elevated",2127.30082969008
"3258401",358754.6,398505.4,359283,398935,"AKM",486,"Rifle","Normal","Normal",681.001262847584
"9289457",477610.5,283399.6,480914.6,281045.8,"M16A4",1035,"Rifle","Normal","Normal",4056.77843245102
"13617524",199517.4,287181.8,198230.4,286192.4,"M416",201,"Rifle","Normal","Normal",1623.35497042388
"29007798",458950.5,308822.9,457648,305815.9,"SCAR-L",785,"Rifle","Normal","Normal",3276.97348936484
"35506713",446085.1,631149.5,446179.8,631137.4,"Tommy Gun",366,"Sub Machine Gun","Normal","Normal",95.4698905414772
"39260893",674750.6,229360.3,677147.6,228003.8,"M416",1464,"Rifle","Normal","Normal",2754.21517859444
"19761889",366309.6,384976.3,366023,387923.8,"UMP9",702,"Sub Machine Gun","Normal","Normal",2961.40098770835
"37587508",625964.8,302506.3,625444.6,303097.4,"Grenade",408,"Explosives","Normal","Normal",787.405391142399
"5734045",169630.1,279409.8,169517.7,279005,"S1897",215,"Shotgun","Normal","Normal",420.115222290254
"9993312",423700.7,325910.7,423625.3,325881.3,"Punch",96,"Melee","Normal","Normal",80.9291047769891
"13766064",193065.9,299549.4,192641.6,299112.5,"Crossbow",285,"Sniper","Normal","Normal",609.025533126494
"13313965",385887,134388.1,385867.5,134521.1,"SCAR-L",1726,"Rifle","Normal","Normal",134.42191041642
"35417915",386882.8,495648.2,389594.6,494661.3,"M16A4",737,"Rifle","Normal","Normal",2885.79813050047
"5173711",556289.7,128681,556204.9,129095.9,"M416",63,"Rifle","Normal","Normal",423.477331152428
"3238422",413670.3,481810.1,413352,481656.7,"M16A4",240,"Rifle","Normal","Normal",353.336171372224
"1800785",346299.9,321843.6,347175.5,321401.7,"UMP9",572,"Sub Machine Gun","Normal","Normal",980.790992005906
"13694102",476457.3,473223.7,481850.8,462302.9,"M416",816,"Rifle","Normal","Normal",12180.0539773024
"16282117",368272.8,416456.3,368280.1,416441.8,"S1897",395,"Shotgun","Normal","Normal",16.2339151161952
"24679675",287806.7,354706.7,280664.4,366722.4,"SCAR-L",934,"Rifle","Normal","Normal",13978.1792727093
"32512387",432709.5,634639.6,432985.6,634676.6,"S12K",105,"Shotgun","Normal","Normal",278.568142471438
"13091474",391480.8,286510.2,390896.2,287292,"P1911",184,"Pistol","Normal","Normal",976.201003892106
"11643457",450409.8,628979.2,450313.6,629180.2,"UMP9",141,"Sub Machine Gun","Normal","Normal",222.835006226585
"3555249",529544.8,244562.4,529757.3,244435.2,"S686",292,"Shotgun","Normal","Normal",247.661240407125
"5249678",425277.3,395478.6,423574.2,389692.3,"Grenade",1075,"Explosives","Normal","Normal",6031.73418678242
"19708114",365491.6,404418.7,363443.6,405515.3,"M16A4",532,"Rifle","Normal","Normal",2323.10902886626
"14288963",257845.5,194868.7,257819.7,194638.2,"UMP9",592,"Sub Machine Gun","Normal","Normal",231.93941019154
"22693776",159749.1,277580.2,161946.3,278175.1,"SCAR-L",552,"Rifle","Normal","Normal",2276.31145716044
"12079681",488507.3,347765.3,488575.8,348185,"M416",1064,"Rifle","Normal","Normal",425.253265713515
"31920408",162161.5,288579.4,164197.8,282260.6,"Mini 14",402,"Rifle","Normal","Normal",6638.80645372348
"33351901",384713.9,495196.5,386127.7,497172.6,"M16A4",1158,"Rifle","Normal","Normal",2429.77399154734
"26421111",238164,463619.6,236993.3,462352.4,"AKM",1239,"Rifle","Elevated","Elevated",1725.20559064707
"106000",696242.3,461746.1,696398.4,461726.1,"M16A4",115,"Rifle","Normal","Normal",157.376014690907
"21354298",205643.5,397052.5,217527.9,398509.6,"SKS",426,"Sniper","Normal","Normal",11973.3914898829
"28932247",194298.8,300182.5,194062.9,300212.9,"S686",448,"Shotgun","Normal","Normal",237.850730501293
"10019555",625838.8,378235.3,627530,378560,"Micro UZI",130,"Sub Machine Gun","Normal","Normal",1722.08813072962
"28759221",420844.1,324698.9,420971.9,324351.8,"S1897",134,"Shotgun","Normal","Normal",369.880048123762
"25856546",608061.3,597103.1,607326.1,597413.3,"M416",406,"Rifle","Normal","Normal",797.961828661087
"26410243",115161.6,186421,118297.1,183704.5,"M16A4",718,"Rifle","Normal","Normal",4148.5819866552
"26529924",687894.7,462064,687873.4,461987.3,"Punch",114,"Melee","Normal","Normal",79.6026381472298
"17218073",604495.8,612066.4,604666.2,613384.4,"M416",633,"Rifle","Elevated","Elevated",1328.96958580698
"16449449",367244.6,419128.2,367385.2,419123.3,"Tommy Gun",173,"Sub Machine Gun","Normal","Normal",140.685358157877
"24555330",401939.8,408660.2,402439.6,405870.4,"AKM",1313,"Rifle","Normal","Normal",2834.21666073713
"18380369",626337.8,377681.8,626609.1,377681.1,"UMP9",293,"Sub Machine Gun","Normal","Normal",271.300903057771
"16952530",179759.5,630841.7,179984.2,630627.4,"M416",140,"Rifle","Normal","Normal",310.506972546472
"32632260",424337,327100.2,424069.2,326986.8,"S1897",261,"Shotgun","Normal","Normal",290.820219379601
"4010909",377436.2,419602.2,378753.8,417742.1,"M416",708,"Rifle","Normal","Normal",2279.48278563363
"491194",365245.2,405207.1,365609.4,404722.7,"Tommy Gun",150,"Sub Machine Gun","Normal","Normal",606.04042769437
"1243470",603048.8,596115,604488.3,595295.9,"SKS",265,"Sniper","Normal","Normal",1656.22615001695
"39494006",244085.5,528480.6,247180,527607.1,"M416",1462,"Rifle","Elevated","Elevated",3215.42104552421
"11211164",623560.4,602507.6,623312.6,602546.1,"SCAR-L",410,"Rifle","Elevated","Elevated",250.772984988461
"35047348",342943.3,310287.2,339185.3,318012.2,"M416",1012,"Rifle","Normal","Normal",8590.58723254703
"38195601",530274.7,234734.8,530237.6,235582.5,"M416",483,"Rifle","Normal","Normal",848.511461325077
"27677838",621423.8,301030.7,621565.3,299989.8,"Kar98k",237,"Sniper","Normal","Normal",1050.47373122799
"15061399",420730.2,324826.1,419941.3,324647.8,"M16A4",187,"Rifle","Normal","Normal",808.797935210045
"18238686",215834.1,136798.2,196935,125813.8,"SKS",1688,"Sniper","Normal","Normal",21859.3921271842
"35798298",547107.3,227748.4,546568.6,227217.6,"S686",282,"Shotgun","Normal","Normal",756.271333583432
"31304772",243516.3,435903,242706.6,435869.8,"Micro UZI",325,"Sub Machine Gun","Normal","Normal",810.38036131188
"32450480",341877.3,171676.4,341965.7,171645.2,"Grenade",410,"Explosives","Normal","Normal",93.7443331620799
"102984",338251.1,447321.9,339241.5,446688.8,"M416",1421,"Rifle","Normal","Normal",1175.46066288927
"1666892",462955.3,424127.2,463265.5,424106.6,"AKM",1192,"Rifle","Normal","Normal",310.883257831632
"5462145",418794.2,458765.3,415410.2,465123,"Grenade",1768,"Explosives","Normal","Normal",7202.20836202343
"3206521",165746.7,396306.9,165486.6,397028.4,"SCAR-L",727,"Rifle","Normal","Normal",766.951276157751
"5518",501038.9,446103.5,499834.6,452873.7,"SKS",1923,"Sniper","Normal","Normal",6876.47777063231
"3828243",337713.9,522307.3,337814.6,521980.9,"SCAR-L",861,"Rifle","Normal","Normal",341.580810350886
"5422715",169411.7,287453.2,169450.6,287294.3,"SCAR-L",321,"Rifle","Normal","Normal",163.592236979653
"10591085",230817.6,273743.4,235399.3,291598.5,"M16A4",567,"Rifle","Normal","Normal",18433.5718432429
"7711007",297735.7,313313.2,284222.5,312266.7,"M416",1303,"Rifle","Normal","Normal",13553.6613684274
"29033959",334248.5,504578.8,336244.4,480837.6,"SCAR-L",1712,"Rifle","Normal","Normal",23824.9489873536
"10809959",363056,398491.9,363209.9,398887.6,"S12K",363,"Shotgun","Normal","Normal",424.574728404754
"35932430",448470.1,623166.1,447509,622633.7,"SKS",259,"Sniper","Normal","Normal",1098.70968412952
"2568242",686826.5,459984.4,686900.9,459900.2,"Micro UZI",106,"Sub Machine Gun","Normal","Normal",112.361025271245
"30005158",391990.5,294380.3,393240.3,294958.3,"M16A4",308,"Rifle","Normal","Normal",1376.98367455826
"38279426",534247.3,226962.8,533379.1,226113.4,"P92",350,"Pistol","Normal","Normal",1214.59935781315
"7266552",328450.9,111376.6,328521.4,111331.8,"Punch",126,"Melee","Normal","Normal",83.5301741887341
"19676177",97886.8,537367.6,98887.45,538739.2,"M416",1766,"Rifle","Normal","Normal",1697.81830079073
"14748917",545974.8,343645.4,545971.3,335013.9,"SKS",1868,"Sniper","Normal","Normal",8631.50070961012
"5214873",444309.6,622678.8,444689.8,622798.4,"AKM",455,"Rifle","Normal","Normal",398.567685594308
"19654885",614677.9,592072.1,614817.8,592102.6,"M416",156,"Rifle","Normal","Normal",143.186102677622
"18441599",398277.1,295318.4,398423.6,295036.9,"SCAR-L",513,"Rifle","Normal","Normal",317.33972332502
"18359017",624255.9,602326.7,626186.3,603664.4,"M416",405,"Rifle","Elevated","Elevated",2348.59222727154
"4085437",375782.3,418265.5,375758,418487.5,"M16A4",145,"Rifle","Normal","Normal",223.325972515512
"29045913",250926,358142.9,249272.2,361411.9,"M416",1349,"Rifle","Normal","Normal",3663.5250019619
"36445453",633456.4,363343.5,632861.8,363207.4,"Micro UZI",794,"Sub Machine Gun","Normal","Normal",609.977352038554
"93416",262454.4,366202.9,259558.6,366911.4,"M416",1974,"Rifle","Normal","Normal",2981.21282199042
"10975648",255865.3,492902.8,260294.3,496168.9,"M16A4",1608,"Rifle","Elevated","Elevated",5503.04008798775
"17493032",572474.8,248207,572325.3,247485.3,"M416",1091,"Rifle","Normal","Normal",737.021804290766
"15661766",364145,416783.1,363335.9,414114.7,"UMP9",134,"Sub Machine Gun","Normal","Normal",2788.36894438304
"37270692",437849.1,623258.1,437760.4,623381.8,"Mini 14",215,"Rifle","Normal","Normal",152.214913855407
"24135543",548693.1,364579.6,548757.9,364260.4,"M416",998,"Rifle","Normal","Normal",325.711037577753
"28228062",280593.7,426504.2,280922.6,426241.7,"Kar98k",739,"Sniper","Normal","Normal",420.810479907496
