"","killer_position_x","killer_position_y","victim_position_x","victim_position_y","killed_by","time","GunType","killerelevation","victimelevation","killdistance"
"17983082",545715.9,448817.5,544267.2,448689.6,"R1895",178,"Pistol","Normal","Normal",1454.33493391316
"35651476",197831.5,275609.5,200813.5,274437.3,"M416",313,"Rifle","Normal","Normal",3204.11873063406
"35416314",691412.6,352455.4,691865,352029.3,"Hit by Car",683,"Vehicles","Normal","Normal",621.47161640742
"37983244",505679.8,295653.8,493361.7,289160.3,"SKS",832,"Sniper","Normal","Normal",13924.8385936785
"31394839",501322.8,230117.1,495197.9,230023.2,"Grenade",1510,"Explosives","Normal","Normal",6125.61974170774
"12169247",467174.8,472545.6,465387.9,472747.9,"SCAR-L",633,"Rifle","Normal","Normal",1798.31501689773
"8812627",295571.7,202731.2,295127.8,203720.7,"M416",1616,"Rifle","Normal","Normal",1084.50793450303
"12178252",420427,324812.9,420778.6,324633.2,"UMP9",293,"Sub Machine Gun","Normal","Normal",394.860291748851
"10995560",693984.8,459261.2,694027,459337.3,"Mini 14",437,"Rifle","Normal","Normal",87.0175269701026
"38657868",390068.5,586886.9,380825.8,584221.9,"AKM",1410,"Rifle","Normal","Normal",9619.2374068842
"27842269",415977.8,479407.2,423160.6,476469.6,"Uaz",1111,"Vehicles","Normal","Normal",7760.29056157049
"37127345",86613.01,481568.4,86713.62,481444.6,"P92",133,"Pistol","Normal","Normal",159.526838180952
"37867898",500368.8,565006.6,498999.9,568261.1,"Grenade",1816,"Explosives","Normal","Normal",3530.67379688352
"27002395",172543.8,620482.8,171801.4,621125.3,"S686",282,"Shotgun","Normal","Normal",981.816688593136
"11241264",444952.2,330049.5,444967,329993.4,"Grenade",569,"Explosives","Normal","Normal",58.0193933094534
"25052510",668111.9,304087.6,668022.1,303292.1,"AKM",356,"Rifle","Normal","Normal",800.55249047143
"18945323",532465.6,155785.6,533667.1,141201.8,"M24",1688,"Sniper","Normal","Normal",14633.2096509959
"19431498",444661.6,622317.8,445346.2,622308.9,"M16A4",320,"Rifle","Normal","Normal",684.657848855944
"9527788",490029.6,443207.6,491456.1,443871.2,"M416",1759,"Rifle","Normal","Normal",1573.29819487599
"25175644",613584.8,364516.5,619106.6,364243.5,"M416",1812,"Rifle","Normal","Normal",5528.54449561539
"19882883",381241.1,410117.9,375891.1,416476.9,"AKM",409,"Rifle","Normal","Normal",8310.1974104109
"546973",358583.2,410502.1,360572,408524.8,"M416",751,"Rifle","Normal","Normal",2804.46799411224
"33999963",567205.5,384642.2,567731.8,383885.4,"VSS",243,"Sub Machine Gun","Normal","Normal",921.812307359818
"26507141",571021.8,350886.2,570811.9,351589.1,"AKM",1531,"Rifle","Normal","Normal",733.571005424806
"39318635",583624.9,484021.6,585359.6,482156.3,"M16A4",851,"Rifle","Normal","Normal",2547.25895424862
"2304702",389631.9,151742.4,374952.2,171048.9,"Mini 14",1033,"Rifle","Normal","Normal",24253.5468404108
